Cluster,ElytrenLänge,ElytrenBREITE,FlügelLÄNGE,FlügelBREITE,PronotumHalsLÄNGE,PronotumLÄNGE,PronotumBREITE,KopfBREITE,KopfHÖHE,Augenabstand,FemurLÄNGE,FemurBREITE,TibiaLÄNGE
Group2,0.787619527,NA,NA,NA,0.155007549,0.098641168,0.150478108,0.152491193,0.22697534,0.049823855,0.420231505,0.125314545,0.325616507
Group2,0.799079755,NA,NA,NA,0.154396728,0.106850716,0.154396728,0.151329243,0.231083845,0.050613497,0.430981595,0.13190184,0.340490798
Group2,0.806597379,NA,NA,NA,0.147311342,0.094441934,0.12833258,0.12833258,0.202892002,0.033890646,0.399005874,0.119295075,0.323090827
Group2,0.799198798,0.157736605,0.734601903,NA,0.146219329,0.093640461,0.139709564,0.138708062,0.207811718,0.037556335,0.402603906,0.109664497,0.352528793
Group2,0.799514563,NA,NA,NA,0.136893204,0.079126214,0.138834951,0.137864078,0.211650485,0.039320388,0.416019417,0.133495146,0.345631068
Group2,0.807428341,0.149777957,NA,0.480016149,0.163907953,0.109810254,0.142511102,0.129188535,0.220024223,0.03391199,0.399273314,0.117884538,0.329430763
Group2,0.821369863,0.169315068,0.766575342,0.472876712,0.160547945,0.101369863,0.141917808,NA,0.229041096,NA,0.447671233,0.126575342,0.373150685
Group2,0.805371901,0.15785124,0.751652893,0.467355372,0.17768595,0.119834711,0.158264463,0.129338843,0.231404959,0.03677686,0.433884298,0.141735537,0.364876033
Group2,0.801444043,0.150020056,0.730044124,0.451664661,0.153630164,0.102286402,0.146409948,0.137585239,0.213798636,0.038908945,0.416766947,0.126754914,0.351784998
Group2,0.789827659,0.158049601,0.712063892,0.449348466,0.163934426,0.11223203,0.153425809,0.136612022,0.206809584,0.044976881,0.445985708,0.137032367,0.369903321
Group2,0.796444444,0.160888889,0.749777778,0.446666667,0.160444444,0.096444444,0.146222222,0.133333333,0.226666667,0.036,0.411111111,0.121333333,0.326222222
Group2,0.789370079,0.161417323,0.748523622,0.443405512,0.146161417,0.089074803,0.149606299,0.144685039,0.212598425,0.043799213,0.413385827,0.125492126,0.340551181
Group2,0.798928719,0.163988463,0.729295426,0.440873506,0.155335806,0.102595797,0.145447054,0.133910177,0.209311908,0.037082818,0.424804285,0.132262052,0.347754429
Group2,0.784879189,0.155105222,0.74629774,0.437646142,0.15939205,0.102883866,0.138347623,0.127045986,0.203819174,0.034294622,0.413484022,0.133281372,0.334762276
Group2,0.798510935,0.160539786,0.765472313,0.43741275,0.152163797,0.111214518,0.140065147,0.138669148,0.220567706,0.033038623,0.41507678,0.117263844,0.331316892
Group2,0.807711079,0.150317228,0.751098097,0.437286481,0.151293314,0.091264031,0.13909224,0.138604197,0.209370425,0.035139092,0.42557345,0.125915081,0.341630063
Group2,0.795409182,0.153193613,0.741017964,0.437125749,0.137225549,0.096806387,0.135728543,NA,0.211576846,NA,0.400698603,0.110778443,0.327844311
Group2,0.793066476,0.157255182,0.730879199,0.437097927,0.165117941,0.109006433,0.14045747,0.128305933,0.19799857,0.037169407,0.407076483,0.119013581,0.332022873
Group2,0.790729073,0.151665167,0.746174617,0.429342934,0.153915392,0.106660666,0.143114311,0.136813681,0.208820882,0.03330333,NA,NA,NA
Group2,0.783458647,0.145864662,0.727067669,0.429323308,0.158270677,0.107518797,0.140601504,0.127067669,0.213909774,0.047368421,0.403383459,0.127819549,0.317293233
Group2,0.79005092,0.14061888,0.726987857,0.4257736,0.16137877,0.112025069,0.150802977,0.135135135,0.211124168,0.0395613,0.408147278,0.128084606,0.321190756
Group2,0.795042054,0.152722444,0.73085436,0.422753431,0.153165117,0.108012395,0.139442231,0.13457282,0.18769367,0.03187251,0.396193006,0.130588756,0.331119965
Group2,0.77173913,0.147575251,0.711538462,0.422240803,0.160953177,0.109531773,0.151337793,0.137541806,0.206103679,0.046822742,0.406354515,0.120401338,0.335284281
Group2,0.76131278,0.159622079,0.732968672,0.417702636,0.147190453,0.096966683,0.131775236,0.142715067,0.214321233,0.039781203,0.427647936,0.122824465,0.347588265
Group2,0.805057471,0.147126437,0.740689655,0.406436782,0.142988506,0.097931034,0.133333333,0.134252874,0.209655172,0.037241379,0.411034483,0.122758621,0.322298851
Group3,0.802452316,0.17075386,0.718437784,0.451407811,0.163941871,0.106721163,0.14804723,0.134423252,0.216621253,0.053587648,0.437783833,0.140781108,0.357402361
Group3,0.799531981,0.145085803,0.718798752,0.429017161,0.143915757,0.104914197,0.138845554,0.136115445,0.229719189,0.049141966,0.417706708,0.11700468,0.328783151
Group3,0.766947056,0.165759525,0.727857496,0.41415141,0.145472538,0.102919347,0.132112815,0.195942603,0.233052944,0.047501237,0.390400792,0.112815438,0.327560614
Group2,0.903314917,0.182320442,0.812707182,NA,0.177900552,0.102209945,0.165745856,0.159116022,0.243646409,0.044198895,0.49281768,0.157458564,0.403314917
Group2,0.772727273,0.149407115,0.698418972,NA,0.168774704,0.103952569,0.158102767,0.138339921,0.226086957,0.061264822,NA,NA,NA
Group2,0.774697384,0.154627099,0.732916829,NA,0.1659508,0.112065599,0.149160484,0.127294026,0.216321749,0.050370949,0.418976962,0.123389301,0.334634908
Group2,0.793069307,0.162376238,0.722772277,0.471782178,0.154950495,0.100990099,0.137623762,0.135643564,0.218811881,0.04950495,0.431683168,0.13960396,0.351980198
Group2,0.764991896,0.152755267,0.72082658,0.462722853,0.169773096,0.11993517,0.153970827,0.134116694,0.21636953,0.051458671,0.412479741,0.133306321,0.348055105
Group2,0.76901063,0.176206051,0.745298446,0.46156991,0.184791496,0.119378577,0.163532298,0.142273099,0.237121832,0.05519215,0.493458708,0.143499591,0.377759608
Group2,0.76904376,0.162884927,0.720016207,0.459886548,0.184359806,0.116693679,0.158833063,0.129659643,0.212317666,0.058752026,0.46191248,0.142220421,0.373176661
Group2,0.800987467,0.169008735,0.743638435,0.459551842,0.173186479,0.10520319,0.148120015,0.131409039,0.219521458,0.047474364,0.429548044,0.132928219,0.34181542
Group2,0.784371082,0.173004597,0.722941914,0.458420393,0.226493941,0.147095696,0.183451734,0.154617635,0.245716674,0.053907229,0.513163393,0.176765566,0.404931049
Group2,0.756882513,0.16556805,0.692904226,0.457153936,0.176037224,0.119813881,0.146568437,0.137650252,0.232648313,0.045366421,0.459868166,0.138813494,0.382706475
Group2,0.780559647,0.171821306,0.732449681,0.457044674,0.172803142,0.115365734,0.149239077,0.138438881,0.217967599,0.043691703,0.452135493,0.132056946,0.380461463
Group2,0.828969359,0.154874652,0.738718663,0.451810585,0.153760446,0.091922006,0.141504178,0.15097493,0.237325905,0.055153203,0.410027855,0.13091922,0.338718663
Group2,0.785769829,0.173794712,0.720451011,0.451788491,0.161741835,0.108087092,0.147356143,0.124805599,0.229004666,0.064541213,0.445178849,0.143468118,0.361975117
Group2,0.779606584,0.156162184,0.721798475,0.450822963,0.181854677,0.104375753,0.158570855,0.134484143,0.223203533,0.049779205,0.453633079,0.137294259,0.351665998
Group2,0.775541017,0.164066432,0.734776044,0.450427781,0.170608958,0.108706593,0.145948666,0.141419225,0.255661802,0.053850025,0.461499748,0.140915954,0.38248616
Group2,0.773575391,0.175995966,0.718608169,0.4498235,0.164397378,0.10186586,0.150277358,0.144730207,0.21079173,0.061018659,0.436712052,0.141200202,0.354009077
Group2,0.779162512,0.169491525,0.712861416,0.449651047,0.176470588,0.116151545,0.146560319,0.152542373,0.226819541,0.055832502,0.453639083,0.147058824,0.386340977
Group2,0.793248945,0.155590717,0.753164557,0.449367089,0.143987342,0.096518987,0.142932489,0.148734177,0.231540084,0.052742616,0.371835443,0.114978903,0.324367089
Group2,0.775580821,0.160652496,0.720711814,0.449332674,0.157192289,0.103806228,0.138408304,0.136925358,0.213544241,0.04597133,0.425111221,0.134453782,0.341571923
Group2,0.767050913,0.161383285,0.722862632,0.447166186,0.167146974,0.102305476,0.154658982,0.132564841,0.214697406,0.048991354,0.435158501,0.137367915,0.35975024
Group2,0.782475802,0.159449822,0.728476821,0.444727458,0.156393276,0.101375446,0.146204789,0.139582272,0.213958227,0.044829343,0.428425879,0.138563423,0.38410596
Group2,0.795638126,0.145799677,0.743134087,0.444264943,NA,NA,NA,0.131260097,0.218901454,0.045234249,0.381260097,0.121163166,0.312197092
Group2,0.81105019,0.16195698,0.757908056,0.444116407,0.163644032,0.107127794,0.140868832,0.13918178,0.227752003,0.053563897,0.409531843,0.124841839,0.33951919
Group2,0.816901408,0.165995976,0.744969819,0.443661972,0.149396378,0.10362173,0.134808853,0.149899396,0.22082495,0.048792757,0.419517103,0.131790744,0.334004024
Group2,0.752675386,0.153388823,0.723345224,0.443123266,0.17201744,0.111375347,0.157352358,0.133174792,0.221561633,0.045580658,0.422909235,0.130796671,0.341260404
Group2,0.789453861,0.153295669,0.711487759,0.442937853,0.163088512,0.114124294,0.15480226,0.128060264,0.222222222,0.047834275,0.439171375,0.125423729,0.355932203
Group2,0.769230769,0.168110036,0.720835456,0.438614366,0.166581763,0.106979114,0.150280183,0.151299032,0.235863474,0.053998981,0.439633214,0.138563423,0.363219562
Group2,0.777173913,0.15513834,0.731719368,0.437252964,0.154644269,0.0993083,0.143280632,0.140316206,0.225296443,0.059288538,0.438241107,0.137351779,0.34486166
Group2,0.811178248,0.146022155,0.75327291,0.436555891,0.163645519,0.101711984,0.128398792,0.140483384,0.228600201,0.044813696,0.407854985,0.12286002,0.33836858
Group2,0.749054224,0.154686843,0.693989071,0.436317781,0.186212694,0.124842371,0.163093737,0.143757881,0.236654056,0.044556536,0.450189155,0.118116856,0.362337116
Group2,0.76960193,0.169280257,0.672295939,0.434258142,0.175713711,0.123843989,0.157619622,0.134298351,0.238841978,0.045838359,0.41938078,0.121029353,0.35464415
Group2,0.7734375,0.1640625,0.728027344,0.434082031,0.174804688,0.109375,0.135253906,0.145507813,0.218261719,0.045410156,0.454589844,0.142089844,0.387207031
Group2,0.790472175,0.164839798,0.73693086,0.43381113,0.164418212,0.101602024,0.165682968,0.134064081,0.235244519,0.043423272,0.446458685,0.142917369,0.371416526
Group2,0.799613713,0.148720425,0.749879285,0.433124095,0.147271849,0.102366007,0.142443264,0.146306132,0.221632062,0.048768711,0.416706905,0.128440367,0.323032352
Group2,0.797690163,0.162883313,0.715252887,0.43130227,0.167264038,0.103544405,0.158900836,0.136598965,0.232178415,0.047391477,0.43647949,0.14257268,0.343289526
Group2,0.80720339,0.152012712,0.745233051,0.430614407,0.146186441,0.106461864,0.127648305,0.149364407,0.226694915,0.049788136,0.390889831,0.127118644,0.333686441
Group2,0.774974773,0.151866801,0.729566095,0.429868819,NA,NA,NA,0.146316852,0.234106963,0.047426842,0.433400605,0.147325933,0.347628658
Group2,0.755712731,0.148531012,0.719804135,0.429815016,0.172470076,0.112622416,0.139281828,0.144178455,0.225244831,0.052230686,0.444504897,0.140914037,0.400435256
Group2,0.769475358,0.164149444,0.713831479,0.428855326,0.168124006,0.107710652,0.155007949,0.135532591,0.224960254,0.052464229,0.436804452,0.138314785,0.3354531
Group2,0.822356215,0.146103896,0.754174397,0.427179963,0.152133581,0.096474954,0.135899814,0.12755102,0.220315399,0.047309833,0.378014842,0.117810761,0.31864564
Group2,0.759493671,0.148945148,0.723206751,0.427004219,0.175105485,0.115611814,0.17257384,0.132067511,0.233333333,0.054008439,0.429957806,0.135021097,0.340084388
Group2,0.792299899,0.156028369,0.73100304,0.424518744,0.16970618,0.114488349,0.158561297,0.1443769,0.235055724,0.043566363,0.449341439,0.134751773,0.377406282
Group2,0.753042795,0.151158225,0.719277581,0.415390656,0.166862976,0.107577542,0.144876325,0.130742049,0.215547703,0.048684727,0.4204947,0.138594425,0.339615234
Group2,0.784321373,0.127925117,0.728939158,0.411466459,0.172386895,0.106864275,0.169656786,0.135725429,0.227379095,0.043291732,0.432527301,0.134945398,0.372464899
Group1,0.77852349,0.172917489,0.722068693,0.459928938,0.186340308,0.119621003,0.158705093,0.144492696,0.237268062,0.048164232,0.454401895,0.151204106,0.37149625
Group1,0.779981114,0.165250236,0.741265345,0.457034939,0.176109537,0.117091596,0.150613787,0.146364495,0.221435316,0.04815864,0.463644948,0.136921624,0.376770538
Group1,0.793650794,0.154761905,0.75,0.427380952,0.161111111,0.10952381,0.132539683,0.13531746,0.220238095,0.05,0.412301587,0.129761905,0.320634921
Group3,0.753883495,0.172815534,0.750485437,0.51407767,0.191747573,0.129126214,0.156796117,0.152912621,0.236893204,0.048058252,0.468932039,0.144660194,0.344174757
Group3,0.767487685,0.188669951,0.709852217,0.487684729,0.18817734,0.121674877,0.157142857,0.148768473,0.234975369,0.0591133,0.447783251,0.15270936,0.37044335
Group3,0.780799341,0.185414091,0.702925422,0.484136794,0.219612691,0.13803049,0.166460651,0.149979398,0.244746601,0.057272353,0.475484137,0.160280181,0.377420684
Group3,0.811328125,0.18359375,0.765625,0.483984375,0.203125,0.12734375,0.16171875,0.141796875,0.252734375,0.0671875,0.4578125,0.159765625,0.359375
Group3,0.796136248,0.176410778,0.726487036,0.479918658,0.187086934,0.120488053,0.156075241,0.153533299,0.238942552,0.04473818,0.48551093,0.153024911,0.385358414
Group3,0.791949153,0.18220339,0.702966102,0.477118644,0.191525424,0.124152542,0.159745763,0.148305085,0.241949153,0.052118644,0.476694915,0.150423729,0.390677966
Group3,0.792863359,0.1897302,0.743690165,0.475195822,0.197563098,0.133159269,0.156657963,0.147084421,0.245430809,0.058746736,0.484334204,0.142732811,0.404264578
Group3,0.807599808,0.17989418,0.722943723,0.472342472,0.183261183,0.112554113,0.153920154,0.150553151,0.231361231,0.056758057,0.471861472,0.16017316,0.36988937
Group3,0.816697761,0.173041045,0.713152985,0.467817164,0.180503731,0.115671642,0.158115672,0.151585821,0.236007463,0.067164179,0.42630597,0.154384328,0.356343284
Group3,0.794199444,0.172030195,0.748510131,0.467222884,0.215733015,0.15375447,0.164878824,0.137465236,0.243543901,0.056813667,0.483114819,0.163289631,0.36829559
Group3,0.788318307,0.171697374,0.74872599,0.464915719,0.197177577,0.120344963,0.165817327,0.13876911,0.232065857,0.052920423,0.485299882,0.148961192,0.394747158
Group3,0.771050521,0.171210906,0.728147554,0.461106656,0.184843625,0.129510826,0.148356055,0.139935846,0.229350441,0.050120289,0.435044106,0.1319166,0.339214114
Group3,0.769337656,0.171375637,0.71699861,0.460398333,0.197776748,0.118573414,0.150995831,0.148679944,0.217693377,0.051875868,0.437239463,0.155627605,0.301991663
Group3,0.794444444,0.186666667,0.708888889,0.454444444,0.171111111,0.113888889,0.157222222,0.148888889,0.223333333,0.062222222,0.463888889,0.157777778,0.395
Group3,0.777404922,0.168530947,0.71103654,0.450410142,0.197613721,0.12639821,0.163310962,0.131991051,0.229306488,0.053691275,NA,NA,NA
Group3,0.7664791,0.161977492,0.727491961,0.449356913,0.19011254,0.126205788,0.164389068,0.1414791,0.248794212,0.059083601,0.48914791,0.15755627,0.396302251
Group3,0.770935961,0.158128079,0.723152709,0.457635468,0.188669951,0.116256158,0.154679803,0.151231527,0.248275862,0.065517241,NA,NA,NA
Group2,0.798291989,0.157381049,0.753151688,0.453436356,0.164294429,0.108580724,0.140300935,0.141114274,0.228141521,0.034160228,0.413176088,0.113867426,0.349328996
Group1,0.803477345,0.157007376,0.767650158,0.429399368,0.155426765,0.114857745,0.152792413,0.133298209,0.214963119,0.038988409,NA,NA,NA
Group1,0.802514405,0.165007858,0.723415401,0.455735987,0.158198009,0.111576742,0.139339969,0.136720796,0.217915139,0.039287585,NA,NA,NA
Group1,0.793541556,0.149814717,0.77077819,0.473795659,0.171519322,0.111169931,0.131286395,0.148755956,0.230280572,0.037586024,NA,NA,NA
Group3,0.782454586,0.151528578,0.745680106,0.455028799,0.179884803,0.11785556,0.153300842,0.131147541,0.228178999,0.033673017,0.447939743,0.147540984,0.356668144
Group3,0.788210746,0.141888367,0.750130412,0.436619718,0.177882107,0.11476265,0.150234742,0.145539906,0.236828378,0.051643192,0.455920709,0.145018258,0.392279604
Group3,0.766938776,0.165306122,0.722857143,0.435918367,0.206530612,0.14,0.166530612,0.132653061,0.236326531,0.052244898,0.465306122,0.155102041,0.388571429
Group3,0.766474465,0.165980231,0.723228995,0.424217463,0.199341021,0.147034596,0.175864909,0.147034596,0.252059308,0.044892916,0.465403624,0.150741351,0.394151565
Group3,0.771206226,0.169649805,0.731906615,0.428793774,0.189494163,0.128404669,0.166536965,0.134241245,0.242801556,0.063424125,NA,NA,NA
Group3,0.77695777,0.167281673,0.742927429,0.475604756,0.198851989,0.134481345,0.181221812,0.14596146,0.244772448,0.052890529,0.440754408,0.156211562,0.379663797
Group3,0.763057325,0.167728238,0.716348195,0.398726115,0.208917197,0.136730361,0.172399151,0.1507431,0.250955414,0.039915074,0.464543524,0.146072187,0.402123142
Group3,0.764643799,0.155672823,0.709234828,0.402110818,0.172031662,0.116094987,0.141424802,0.145646438,0.237467018,0.069656992,NA,NA,NA
Group3,0.800451807,0.171310241,0.737575301,0.451807229,0.188629518,0.134412651,0.161144578,0.135165663,0.232304217,0.054216867,0.436746988,0.149096386,0.357304217
Group3,0.783983573,0.17412731,0.723203285,0.429158111,0.188911704,0.123203285,0.173716632,0.139219713,0.252566735,0.045995893,0.480082136,0.152772074,0.390143737
Group3,0.785616125,0.152542373,0.761337609,0.445716903,0.186440678,0.115895557,0.150710032,0.142006413,0.230874943,0.035730646,0.469995419,0.14612918,0.40403115
Group3,0.809006211,0.16576087,0.722049689,0.440993789,0.184782609,0.117236025,0.161878882,0.144409938,0.251552795,0.041537267,0.452251553,0.149456522,0.379658385
Group3,0.773668639,0.156804734,0.727317554,0.4117357,0.190335306,0.127218935,0.152366864,0.147435897,0.23816568,0.050788955,0.461045365,0.153353057,0.379191321
Group3,0.761050876,0.160133445,0.704336947,0.402835696,0.198081735,0.123436197,0.157631359,0.141367807,0.232276897,0.041284404,NA,NA,NA
Group3,0.807314196,0.176956351,0.740857255,0.43138026,0.189539913,0.124262682,0.156901298,0.145497444,0.250884782,0.041683052,0.455760912,0.155328352,0.35941801
Group4,0.792188282,0.156735103,0.723585378,0.439659489,0.194291437,0.131697546,0.148222334,0.144216324,0.230345518,0.051577366,0.474211317,0.150225338,0.376564847
Group4,0.778005115,0.173913043,0.72685422,0.455242967,0.179028133,0.128900256,0.150895141,0.145268542,0.219948849,0.045524297,NA,NA,NA
Group4,0.78058337,0.170657379,0.724858511,NA,0.207226818,0.128428385,0.16195037,0.140182847,0.243796256,0.055724859,0.463212886,0.162385721,0.373530692
Group2,0.765517241,0.156781609,0.778390805,NA,0.16,0.107126437,0.135632184,0.135632184,0.218850575,0.032183908,NA,NA,NA
Group2,0.792792793,0.137505927,0.707444286,0.358463727,0.165481271,0.099099099,0.141773352,0.141299194,0.22380275,0.022285443,NA,NA,NA
Group2,0.824954296,0.156764168,0.760968921,0.467093236,0.150822669,0.111060329,0.148994516,0.136197441,0.222577697,0.039305302,NA,NA,NA
Group4,0.790199081,0.165773354,0.743874426,0.455589587,0.214012251,0.140122511,0.166921899,0.145099541,0.236600306,0.044410413,0.475497703,0.169601838,0.391653905
Group4,0.787867226,0.174360931,0.740938573,0.468904998,0.191148417,0.134681419,0.153376574,0.134681419,0.238840137,0.042731782,0.46203739,0.368561618,NA
Group4,0.789391576,0.158086323,0.741549662,0.453458138,0.17524701,0.116484659,0.127925117,0.141965679,0.218408736,0.035881435,0.42849714,0.144045762,0.371814873
Group4,0.758218893,0.154806492,0.709529754,0.426966292,0.178110695,0.103204328,0.150228881,0.138992926,0.212234707,0.033707865,0.452351228,0.148980441,0.34789846
